text,label,emotion,predicted,confidence,correct
Whiskey isn't going to help. She should pray to [NAME] that another man comes and brings purpose to her life.,3,happiness,neutral,0.4664994478225708,False
"“Stop replying to me as I send you a message first!” Oh, meat eaters ❤️",0,anger,neutral,0.46385806798934937,False
"I'm not rotting, I'm drinking.",5,sadness,anger,0.4587112069129944,False
"Wait, Mario Odyssey? I love that game, but isn't it a little old to be in the top 10?",0,anger,neutral,0.4540007412433624,False
It has to include a scene where Polio ruins his childhood. And he learns about raid low-irritant spray. Because that’s a thing I remember.,6,surprise,neutral,0.4494289755821228,False
But he has... so it’s not that he can’t but that he shouldn’t.,0,anger,neutral,0.4448634684085846,False
Happy Cake Day [NAME]! Use what talents you possess: the woods would be very silent if no birds sang there except those that sang best.,3,happiness,neutral,0.43745580315589905,False
"[NAME] is bae, how dare you.",4,neutral,anger,0.437447190284729,False
"Apparently, they couldn't believe a massive corporation (that they're loyal to) finally called them out.",6,surprise,neutral,0.43292203545570374,False
"If he wants to play more, he should play better. Otherwise, leave. [NAME] has been very bad.",0,anger,neutral,0.42782890796661377,False
"Post on the [NAME] and listen to info wars, you shouldn’t have an opinion on the Internet and you should not share it",5,sadness,neutral,0.42098090052604675,False
"Damnit, it was *Flavor-Aid*, not Kool-Aid.",0,anger,disgust,0.41516241431236267,False
"ah, rejection. i know something about it",0,anger,neutral,0.41131412982940674,False
"Sorry, I was misinformed. My apologies, brother in [NAME].",1,disgust,sadness,0.4048827290534973,False
That must hurt,5,sadness,fear,0.4019242525100708,False
It's not nearly as easy to underreport murders as you think,2,fear,neutral,0.401786208152771,False
Can you apply to some kind of help within your university? Sorry this is happening to you.,5,sadness,neutral,0.40032684803009033,False
I'm phobic of needles and babies so that was NOT a picture I wanted to see.,5,sadness,disgust,0.39371129870414734,False
The World Between Worlds veered worryingly close to this territory. Luckily it was handled well.,6,surprise,neutral,0.39309799671173096,False
I am loving this exchange. At first I felt really really insecure that my sister and I are best friends and now I realize this person is ridiculous.,6,surprise,disgust,0.38891902565956116,False
"Same, actually. Funny, just saw him in a local video doing the same bit.",1,disgust,surprise,0.3842046856880188,False
"I got a weird vibe when he was placed on Colliton's staff, so I'm really glad it's turned out the way it did. ",0,anger,disgust,0.3799493908882141,False
3 Hours of [NAME] pissing on the floor in public,0,anger,neutral,0.37980279326438904,False
"I didn't need that eye, anyway.",0,anger,neutral,0.3795960545539856,False
Thats who I thought it was too😂,6,surprise,neutral,0.37874072790145874,False
"Sorry bb :( I understand that feeling all too well, haha",5,sadness,happiness,0.37054577469825745,False
Whats that smell?,1,disgust,neutral,0.3703772723674774,False
"Oh wow, I feel bad for the parents, they had no idea",5,sadness,disgust,0.367274671792984,False
Get back on your meds mate..You aren't funny at all...,3,happiness,disgust,0.36500805616378784,False
"Agreed. I don't know what the middle ground is, but it's somewhere between neglect through inaction and traumatic physical overreaction. ",3,happiness,disgust,0.35972070693969727,False
"Paraphrasing [NAME], this brought warm feelings to my heart.",3,happiness,neutral,0.3545559048652649,False
"You're getting your french fries from the wrong places, then.",2,fear,anger,0.34761667251586914,False
I think the show was all about forgiveness. She can't change [NAME] and fighting with him only brings him around and brings her pain.,2,fear,neutral,0.34301063418388367,False
Yepp. I've struggled to hold a job so I'd be in trouble without it.,2,fear,sadness,0.34150323271751404,False
I saw a youtube video once where someone was a “failed abortion”. They were perfectly normal. I guess the doctor was just an idiot.,0,anger,neutral,0.34001225233078003,False
Violife and follow your heart I made a cheese board for my dairy loving family and they couldn’t believe it!,5,sadness,love,0.33574938774108887,False
"Well then I feel sorry for men for being such incontrolable sexual beasts I guess. My original answer was sincere, I can't speak for others though.",0,anger,neutral,0.3323309123516083,False
Omg I could cry at this,6,surprise,fear,0.3316665291786194,False
Wow did you really just scam me😔,6,surprise,disgust,0.3313472270965576,False
I’m 40 and I’ve never lied about my age or weight. People take themselves so seriously!,0,anger,surprise,0.31599128246307373,False
"It's pretty stupid honestly. [NAME] clearly pointed a bug and people are saying ""oh, it's a feature"". ...seriously now.",0,anger,neutral,0.2968609929084778,False
I did not cry my eyes out!!,0,anger,disgust,0.2807258069515228,False
Absolutely! The Republicans are craven,2,fear,neutral,0.27749934792518616,False
[NAME] I've smoked for 20 years. Really is time to quit.,6,surprise,neutral,0.2755001187324524,False
How about breaking into tears whenever one of your friends tells you they trust you because you never understood what trust meant,6,surprise,fear,0.23414912819862366,False
